variant,procs,N,eps,iterations,time_sec,rel_residual,matrix,problem,timestamp
dup,1,40000000,1e-08,1,0.20754599999999998,2.0788981990869014e-12,model,ones,20251025_113231
dup,1,40000000,1e-08,1,0.20719900000000002,2.0788981990869014e-12,model,ones,20251025_113231
dup,1,40000000,1e-08,1,0.207489,2.0788981990869014e-12,model,ones,20251025_113231
dup,2,40000000,1e-08,1,0.180852,1.922063481438583e-12,model,ones,20251025_113231
dup,2,40000000,1e-08,1,0.186241,1.922063481438583e-12,model,ones,20251025_113231
dup,2,40000000,1e-08,1,0.195961,1.922063481438583e-12,model,ones,20251025_113231
dup,4,40000000,1e-08,1,0.120956,1.2017786202389323e-12,model,ones,20251025_113231
dup,4,40000000,1e-08,1,0.12146699999999999,1.2017786202389323e-12,model,ones,20251025_113231
dup,4,40000000,1e-08,1,0.11507,1.2017786202389323e-12,model,ones,20251025_113231
dup,8,40000000,1e-08,1,0.19300299999999992,2.235174123197878e-13,model,ones,20251025_113231
dup,8,40000000,1e-08,1,0.20234000000000002,2.235174123197878e-13,model,ones,20251025_113231
dup,8,40000000,1e-08,1,0.18305000000000005,2.235174123197878e-13,model,ones,20251025_113231
dist,1,40000000,1e-08,1,0.179631,2.0788981990869014e-12,model,ones,20251025_113231
dist,1,40000000,1e-08,1,0.18760600000000002,2.0788981990869014e-12,model,ones,20251025_113231
dist,1,40000000,1e-08,1,0.179701,2.0788981990869014e-12,model,ones,20251025_113231
dist,2,40000000,1e-08,1,0.129809,1.922063481438583e-12,model,ones,20251025_113231
dist,2,40000000,1e-08,1,0.154856,1.922063481438583e-12,model,ones,20251025_113231
dist,2,40000000,1e-08,1,0.15353699999999998,1.922063481438583e-12,model,ones,20251025_113231
dist,4,40000000,1e-08,1,0.109796,1.2017786202389323e-12,model,ones,20251025_113231
dist,4,40000000,1e-08,1,0.117456,1.2017786202389323e-12,model,ones,20251025_113231
dist,4,40000000,1e-08,1,0.116669,1.2017786202389323e-12,model,ones,20251025_113231
dist,8,40000000,1e-08,1,0.09247,2.235174123197878e-13,model,ones,20251025_113231
dist,8,40000000,1e-08,1,0.0944,2.235174123197878e-13,model,ones,20251025_113231
dist,8,40000000,1e-08,1,0.091954,2.235174123197878e-13,model,ones,20251025_113231
