threads,N,eps,iterations,time_sec,rel_residual,matrix,problem,timestamp
1,40000000,1e-08,3,0.5648819170000001,3.174028792810448e-14,model,mix,20251025_130031
1,40000000,1e-08,3,0.5500349169999996,3.174028792810448e-14,model,mix,20251025_130031
1,40000000,1e-08,3,0.5527306249999997,3.174028792810448e-14,model,mix,20251025_130031
2,40000000,1e-08,3,0.5002212500000001,1.2665987626667453e-14,model,mix,20251025_130031
2,40000000,1e-08,3,0.4995805000000004,1.2665987626667453e-14,model,mix,20251025_130031
2,40000000,1e-08,3,0.5007484590000004,1.2665987626667453e-14,model,mix,20251025_130031
4,40000000,1e-08,3,0.49046045899999946,3.246858517031271e-14,model,mix,20251025_130031
4,40000000,1e-08,3,0.49273133300000005,3.246858517031271e-14,model,mix,20251025_130031
4,40000000,1e-08,3,0.4914324590000003,3.246858517031271e-14,model,mix,20251025_130031
8,40000000,1e-08,3,0.4717636670000003,8.64594870965383e-17,model,mix,20251025_130031
8,40000000,1e-08,3,0.47215700000000016,8.64594870965383e-17,model,mix,20251025_130031
8,40000000,1e-08,3,0.4722047079999996,8.64594870965383e-17,model,mix,20251025_130031
